Series_Title,Gross,Genre,Fecha,Genero
Stagecoach,1,Adventure,1939-04-01,AVENTURA
The Lady Vanishes,1,Mystery,1938-03-01,MISTERIO
Bringing Up Baby,1,Comedy,1938-11-01,COMEDIA
Bride of Frankenstein,4360000,Drama,1935-01-01,DRAMA
Duck Soup,1,Comedy,1933-07-01,COMEDIA
Scarface: The Shame of the Nation,1,Action,1932-03-01,ACCION
Frankenstein,1,Drama,1931-09-01,DRAMA
Roma,1,Drama,2018-01-01,DRAMA
God's Own Country,335609,Drama,2017-05-01,DRAMA
Deadpool 2,324591735,Action,2018-11-01,ACCION
Wind River,33800859,Crime,2017-11-01,CRIMEN
Get Out,176040665,Horror,2017-05-01,HORROR
Mission: Impossible - Fallout,220159104,Action,2018-12-01,ACCION
En man som heter Ove,3358518,Comedy,2015-11-01,COMEDIA
What We Do in the Shadows,3333000,Comedy,2014-06-01,COMEDIA
Omoide no Mânî,765127,Animation,2014-08-01,ANIMACION
The Theory of Everything,35893537,Biography,2014-08-01,BIOGRAFIA
Kingsman: The Secret Service,128261724,Action,2014-02-01,ACCION
The Fault in Our Stars,124872350,Drama,2014-10-01,DRAMA
Me and Earl and the Dying Girl,6743776,Comedy,2015-07-01,COMEDIA
Birdman or (The Unexpected Virtue of Ignorance),42340598,Comedy,2014-12-01,COMEDIA
La vie d'Adèle,2199675,Drama,2013-08-01,DRAMA
Kai po che!,1122527,Drama,2013-04-01,DRAMA
The Broken Circle Breakdown,175058,Drama,2012-02-01,DRAMA
Captain America: The Winter Soldier,259766572,Action,2014-10-01,ACCION
Rockstar,985912,Drama,2011-04-01,DRAMA
Nebraska,17654912,Adventure,2013-09-01,AVENTURA
Wreck-It Ralph,189422889,Animation,2012-10-01,ANIMACION
Le Petit Prince,1339152,Animation,2015-05-01,ANIMACION
Detachment,71177,Drama,2011-06-01,DRAMA
Midnight in Paris,56816662,Comedy,2011-12-01,COMEDIA
The Lego Movie,257760692,Animation,2014-12-01,ANIMACION
Gravity,274092705,Drama,2013-10-01,DRAMA
Star Trek Into Darkness,228778661,Action,2013-10-01,ACCION
Beasts of No Nation,83861,Drama,2015-02-01,DRAMA
The Social Network,96962694,Biography,2010-09-01,BIOGRAFIA
X: First Class,146408305,Action,2011-05-01,ACCION
The Hangover,277322503,Comedy,2009-02-01,COMEDIA
Skyfall,304360277,Action,2012-10-01,ACCION
Silver Linings Playbook,132092958,Comedy,2012-10-01,COMEDIA
Argo,136025503,Biography,2012-09-01,BIOGRAFIA
(500) Days of Summer,32391374,Comedy,2009-01-01,COMEDIA
Harry Potter and the Deathly Hallows: Part 1,295983305,Adventure,2010-03-01,AVENTURA
Gake no ue no Ponyo,15090400,Animation,2008-06-01,ANIMACION
Frost/Nixon,18593156,Biography,2008-05-01,BIOGRAFIA
Papurika,881302,Animation,2006-04-01,ANIMACION
Changeling,35739802,Biography,2008-04-01,BIOGRAFIA
Flipped,1752214,Comedy,2010-05-01,COMEDIA
Toki o kakeru shôjo,1,Animation,2006-08-01,ANIMACION
Death Note: Desu nôto,1,Crime,2006-08-01,CRIMEN
This Is England,327919,Crime,2006-09-01,CRIMEN
Ex Machina,25442958,Drama,2014-02-01,DRAMA
Efter brylluppet,412544,Drama,2006-05-01,DRAMA
The Last King of Scotland,17605861,Biography,2006-04-01,BIOGRAFIA
Zodiac,33080084,Crime,2007-06-01,CRIMEN
Lucky Number Slevin,22494487,Action,2006-04-01,ACCION
Joyeux Noël,1054361,Drama,2005-07-01,DRAMA
Control,871577,Biography,2007-10-01,BIOGRAFIA
Tangled,200821936,Animation,2010-12-01,ANIMACION
Zwartboek,4398392,Drama,2006-05-01,DRAMA
Brokeback Mountain,83043761,Drama,2005-12-01,DRAMA
3:10 to Yuma,53606916,Action,2007-04-01,ACCION
Crash,54580300,Crime,2004-10-01,CRIMEN
Kung fu,17108591,Action,2004-09-01,ACCION
The Bourne Supremacy,176241941,Action,2004-07-01,ACCION
The Machinist,1082715,Drama,2004-07-01,DRAMA
Ray,75331600,Biography,2004-08-01,BIOGRAFIA
Lost in Translation,44585453,Comedy,2003-10-01,COMEDIA
Harry Potter and the Goblet of Fire,290013036,Adventure,2005-06-01,AVENTURA
Man on Fire,77911774,Action,2004-11-01,ACCION
Coraline,75286229,Animation,2009-01-01,ANIMACION
The Last Samurai,111110575,Action,2003-01-01,ACCION
The Magdalene Sisters,4890878,Drama,2002-05-01,DRAMA
Good Bye Lenin!,4064200,Comedy,2003-02-01,COMEDIA
In America,15539266,Drama,2002-08-01,DRAMA
I Am Sam,40311852,Drama,2001-10-01,DRAMA
Adaptation.,22245861,Comedy,2002-03-01,COMEDIA
Black Hawk Down,108638745,Drama,2001-08-01,DRAMA
Road to Perdition,104454762,Crime,2002-04-01,CRIMEN
Das Experiment,141072,Drama,2001-04-01,DRAMA
Billy Elliot,21995263,Drama,2000-08-01,DRAMA
Hedwig and the Angry Inch,3029081,Comedy,2001-02-01,COMEDIA
Ocean's Eleven,183417150,Crime,2001-05-01,CRIMEN
Vampire Hunter D: Bloodlust,151086,Animation,2000-09-01,ANIMACION
"O Brother, Where Art Thou?",45512588,Adventure,2000-09-01,AVENTURA
Interstate 60: Episodes of the Road,1,Adventure,2002-06-01,AVENTURA
"South Park: Bigger, Longer & Uncut",52037603,Animation,1999-10-01,ANIMACION
Office Space,10824921,Comedy,1999-12-01,COMEDIA
Happiness,2807390,Comedy,1998-06-01,COMEDIA
Training Day,76631907,Crime,2001-12-01,CRIMEN
Rushmore,17105219,Comedy,1998-08-01,COMEDIA
Abre los ojos,368234,Drama,1997-04-01,DRAMA
Being John Malkovich,22858926,Comedy,1999-10-01,COMEDIA
As Good as It Gets,148478011,Comedy,1997-09-01,COMEDIA
The Fifth Element,63540020,Action,1997-04-01,ACCION
Le dîner de cons,4065116,Comedy,1998-10-01,COMEDIA
Donnie Brasco,41909762,Biography,1997-06-01,BIOGRAFIA
Shine,35811509,Biography,1996-03-01,BIOGRAFIA
Primal Fear,56116183,Crime,1996-12-01,CRIMEN
Hamlet,4414535,Drama,1996-04-01,DRAMA
A Little Princess,10019307,Drama,1995-10-01,DRAMA
Do lok tin si,1,Comedy,1995-08-01,COMEDIA
Il postino,21848932,Biography,1994-11-01,BIOGRAFIA
Clerks,3151130,Comedy,1994-12-01,COMEDIA
